latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.26,92.144,313.9,1,1,2020-01-11,0430,T,74,6.0NRT,283.8,16.1,D
26.544,94.701,301.6,1.1,1,2020-01-11,0430,T,48,6.0NRT,289,6,D
26.605,93.104,306.1,1,1,2020-01-11,0430,T,0,6.0NRT,295.7,5.7,D
25.216,94.512,301.4,1.1,1,2020-01-11,0435,T,47,6.0NRT,289.2,5.9,D
23.779,86.399,311.4,1.8,1.3,2020-01-11,0435,T,69,6.0NRT,295.4,19.2,D
23.719,86.439,305.4,1.8,1.3,2020-01-11,0435,T,51,6.0NRT,293.6,11.2,D
22.473,91.738,322.7,1,1,2020-01-11,0435,T,81,6.0NRT,294.3,19,D
22.786,86.206,306.6,1.8,1.3,2020-01-11,0435,T,48,6.0NRT,293.8,13.3,D
20.613,93.059,315.9,1.1,1,2020-01-11,0435,T,0,6.0NRT,301.5,8.7,D
20.429,92.81,309.2,1,1,2020-01-11,0435,T,66,6.0NRT,298.8,5.3,D
19.894,95.145,315.1,1.4,1.2,2020-01-11,0435,T,53,6.0NRT,302.5,8.7,D
19.278,97.327,311,2,1.4,2020-01-11,0435,T,62,6.0NRT,298.5,15.8,D
20.959,85.18,305.3,2.1,1.4,2020-01-11,0435,T,23,6.0NRT,290.9,11.1,D
19.043,97.3,311.7,2,1.4,2020-01-11,0435,T,53,6.0NRT,297.5,16,D
18.703,97.431,309.7,2.1,1.4,2020-01-11,0435,T,57,6.0NRT,298.4,14.7,D
19.013,95.305,321.6,1.4,1.2,2020-01-11,0435,T,77,6.0NRT,302.3,20.5,D
19.011,95.319,318.8,1.5,1.2,2020-01-11,0435,T,72,6.0NRT,303.9,14.8,D
18.634,95.135,316.6,1.4,1.2,2020-01-11,0435,T,72,6.0NRT,303.2,10.3,D
18.03,95.041,311.4,1.4,1.2,2020-01-11,0435,T,63,6.0NRT,299.7,10,D
16.452,96.285,315.6,1.9,1.3,2020-01-11,0435,T,65,6.0NRT,302.7,12.4,D
16.384,96.213,320.8,1.9,1.3,2020-01-11,0435,T,76,6.0NRT,306.1,23.2,D
15.034,101.595,318.3,3.4,1.7,2020-01-11,0600,A,71,6.0NRT,293.7,43.4,D
28.659,70.562,301.1,1.1,1,2020-01-11,0610,T,45,6.0NRT,277,5.2,D
26.624,67.866,304.2,1,1,2020-01-11,0610,T,48,6.0NRT,290,4.1,D
25.899,68.77,309.1,1,1,2020-01-11,0610,T,59,6.0NRT,287.8,7.8,D
25.8,69.05,305.9,1,1,2020-01-11,0610,T,44,6.0NRT,292.3,5.5,D
25.799,69.06,309.6,1,1,2020-01-11,0610,T,60,6.0NRT,291.9,8.3,D
25.743,68.766,304.9,1,1,2020-01-11,0610,T,44,6.0NRT,290.3,5.4,D
25.669,69.123,312.1,1,1,2020-01-11,0610,T,65,6.0NRT,293.1,9.3,D
25.555,68.842,306.5,1,1,2020-01-11,0610,T,50,6.0NRT,292.1,5.2,D
25.554,68.852,320.3,1,1,2020-01-11,0610,T,77,6.0NRT,292.3,16.9,D
25.377,69.217,312.3,1,1,2020-01-11,0610,T,64,6.0NRT,294.2,9.1,D
24.982,69.552,311.3,1.1,1,2020-01-11,0610,T,49,6.0NRT,298,5.1,D
25.035,68.445,308,1,1,2020-01-11,0610,T,55,6.0NRT,294.4,5.4,D
21.322,74.901,308.5,2.7,1.6,2020-01-11,0610,T,54,6.0NRT,295.2,17.7,D
21.313,74.918,308.2,2.7,1.6,2020-01-11,0610,T,53,6.0NRT,295.2,16.9,D
21.106,72.64,314.7,1.8,1.3,2020-01-11,0610,T,0,6.0NRT,297.6,18.3,D
16.488,73.673,315.6,2.7,1.6,2020-01-11,0615,T,66,6.0NRT,300.3,31.3,D
18.093,101.46,312.4,3,1.7,2020-01-11,0605,A,28,6.0NRT,299.9,30.1,D
18.107,101.457,347,3,1.7,2020-01-11,0605,A,82,6.0NRT,300.5,248.6,D
18.093,101.453,324.4,3,1.7,2020-01-11,0605,A,57,6.0NRT,300,81,D
18.108,101.45,334.6,3,1.7,2020-01-11,0605,A,66,6.0NRT,300.3,137.8,D
26.57,101.673,309.9,1.9,1.4,2020-01-11,0605,A,69,6.0NRT,295.7,18.8,D
26.567,101.655,306.8,1.9,1.4,2020-01-11,0605,A,59,6.0NRT,293.6,13.7,D
26.574,101.667,311.2,1.9,1.4,2020-01-11,0605,A,63,6.0NRT,295.2,19.4,D
17.085,81.773,312.9,1.4,1.2,2020-01-11,0740,A,60,6.0NRT,298.8,8.2,D
17.114,81.444,316.6,1.4,1.2,2020-01-11,0740,A,68,6.0NRT,298.3,15.7,D
18.314,83.746,318.9,1.1,1,2020-01-11,0740,A,72,6.0NRT,300.2,11.7,D
18.313,83.737,313.9,1.1,1,2020-01-11,0740,A,64,6.0NRT,298.8,7,D
18.133,81.855,317,1.3,1.1,2020-01-11,0740,A,61,6.0NRT,302.7,10.7,D
20.513,93.047,312,2.9,1.6,2020-01-11,0740,A,0,6.0NRT,300.9,22.5,D
19.671,82.796,312.5,1.1,1.1,2020-01-11,0740,A,65,6.0NRT,300.4,6.1,D
19.619,82.469,311.1,1.1,1.1,2020-01-11,0740,A,56,6.0NRT,299.6,5.5,D
19.719,82.457,310.7,1.1,1.1,2020-01-11,0740,A,51,6.0NRT,299.9,6.3,D
20.601,86.564,310,1.1,1,2020-01-11,0740,A,55,6.0NRT,297.8,6,D
19.391,77.269,311,2.6,1.5,2020-01-11,0740,A,57,6.0NRT,297.8,18,D
20.784,85.267,310.7,1,1,2020-01-11,0740,A,33,6.0NRT,298.4,4.8,D
20.791,85.256,314.2,1,1,2020-01-11,0740,A,54,6.0NRT,300.7,7.5,D
21.06,86.421,311.4,1.1,1,2020-01-11,0740,A,61,6.0NRT,299.8,5.8,D
20.957,85.188,312.5,1,1,2020-01-11,0740,A,31,6.0NRT,300.3,5.9,D
20.955,85.178,323.5,1,1,2020-01-11,0740,A,80,6.0NRT,301.3,15.6,D
21.006,83.745,310.4,1,1,2020-01-11,0740,A,63,6.0NRT,299,5.1,D
21.118,83.689,310.8,1,1,2020-01-11,0740,A,63,6.0NRT,298.7,5.9,D
20.788,81.51,314.3,1.2,1.1,2020-01-11,0740,A,69,6.0NRT,300.7,10.1,D
21.209,83.688,308,1,1,2020-01-11,0740,A,56,6.0NRT,297.7,4.3,D
20.923,81.718,313.8,1.2,1.1,2020-01-11,0740,A,68,6.0NRT,301,9.3,D
20.887,81.303,311.7,1.3,1.1,2020-01-11,0740,A,63,6.0NRT,300.2,8.6,D
21.118,82.484,316,1.1,1,2020-01-11,0740,A,70,6.0NRT,299.9,11,D
21.117,82.474,312.3,1.1,1,2020-01-11,0740,A,64,6.0NRT,299.9,7.6,D
22.469,93.523,309.2,3.4,1.7,2020-01-11,0740,A,66,6.0NRT,293.6,49.3,D
21.151,82.11,314.8,1.1,1.1,2020-01-11,0740,A,69,6.0NRT,300.1,8.9,D
21.149,82.099,317.7,1.1,1.1,2020-01-11,0740,A,73,6.0NRT,302.7,11.8,D
21.384,82.638,309,1.1,1,2020-01-11,0740,A,57,6.0NRT,298.1,5.3,D
21.873,84.256,317.2,1,1,2020-01-11,0740,A,74,6.0NRT,298.5,11.1,D
21.872,84.247,309.5,1,1,2020-01-11,0740,A,62,6.0NRT,297.8,4.9,D
22.523,87.922,305.3,1.3,1.1,2020-01-11,0740,A,40,6.0NRT,293.5,6.4,D
22.209,84.869,310.1,1,1,2020-01-11,0740,A,61,6.0NRT,299.2,4.8,D
22.208,84.859,315.9,1,1,2020-01-11,0740,A,74,6.0NRT,300.5,9.2,D
22.44,83.713,307.5,1,1,2020-01-11,0740,A,60,6.0NRT,296.8,4.9,D
